family_id,instrument,orb_time,direction,rr,sl_mode,trades,wins,losses,win_rate,avg_r,total_r,max_drawdown,profit_factor,split1_trades,split1_avg_r,split2_trades,split2_avg_r,split3_trades,split3_avg_r,positive_splits,stability_flag
MGC_0900_UP_2.5R_FULL,MGC,0900,UP,2.5,FULL,502,138,356,27.490039840637447,-0.021912350597609563,-11.0,77.0,0.9691011235955056,173,-0.26011560693641617,164,0.12804878048780488,165,0.07878787878787878,2,STABLE
MGC_0900_UP_3.0R_FULL,MGC,0900,UP,3.0,FULL,502,120,373,23.904382470119522,-0.025896414342629483,-13.0,71.0,0.9651474530831099,173,-0.24855491329479767,164,0.12195121951219512,165,0.06060606060606061,2,STABLE
MGC_2300_DOWN_2.0R_FULL,MGC,2300,DOWN,2.0,FULL,386,122,256,31.606217616580313,-0.031088082901554404,-12.0,44.0,0.953125,141,-0.06382978723404255,126,-0.12698412698412698,119,0.1092436974789916,1,UNSTABLE
MGC_0900_DOWN_2.0R_HALF,MGC,0900,DOWN,2.0,HALF,474,153,321,32.278481012658226,-0.03164556962025317,-15.0,47.0,0.9532710280373832,168,-0.125,155,-0.14838709677419354,151,0.19205298013245034,1,UNSTABLE
MGC_1800_DOWN_4.0R_HALF,MGC,1800,DOWN,4.0,HALF,453,87,366,19.205298013245034,-0.039735099337748346,-18.0,41.0,0.9508196721311475,154,0.03896103896103896,148,-0.1554054054054054,151,-0.006622516556291391,1,UNSTABLE
MGC_2300_UP_3.0R_HALF,MGC,2300,UP,3.0,HALF,412,98,311,23.78640776699029,-0.0412621359223301,-17.0,54.0,0.9453376205787781,141,-0.028368794326241134,133,-0.12030075187969924,138,0.021739130434782608,1,UNSTABLE
MGC_0900_UP_3.0R_HALF,MGC,0900,UP,3.0,HALF,502,120,381,23.904382470119522,-0.04183266932270916,-21.0,84.0,0.9448818897637795,173,-0.2832369942196532,164,-0.018292682926829267,165,0.18787878787878787,1,UNSTABLE
MGC_0900_UP_2.0R_FULL,MGC,0900,UP,2.0,FULL,502,158,338,31.47410358565737,-0.043824701195219126,-22.0,77.0,0.9349112426035503,173,-0.2774566473988439,164,0.07926829268292683,165,0.07878787878787878,2,STABLE
MGC_2300_DOWN_3.0R_FULL,MGC,2300,DOWN,3.0,FULL,386,87,278,22.53886010362694,-0.04404145077720207,-17.0,60.0,0.9388489208633094,141,0.0070921985815602835,126,-0.09523809523809523,119,-0.05042016806722689,1,UNSTABLE
MGC_0900_UP_2.5R_HALF,MGC,0900,UP,2.5,HALF,502,136,366,27.091633466135455,-0.05179282868525897,-26.0,76.5,0.9289617486338798,173,-0.2514450867052023,164,0.003048780487804878,165,0.10303030303030303,2,STABLE
MGC_2300_UP_2.0R_FULL,MGC,2300,UP,2.0,FULL,412,127,276,30.8252427184466,-0.05339805825242718,-22.0,60.0,0.9202898550724637,141,0.028368794326241134,133,-0.18796992481203006,138,-0.007246376811594203,1,UNSTABLE
MGC_1800_DOWN_2.0R_FULL,MGC,1800,DOWN,2.0,FULL,453,142,309,31.346578366445915,-0.05518763796909492,-25.0,41.0,0.919093851132686,154,0.03896103896103896,148,-0.06756756756756757,151,-0.1390728476821192,1,UNSTABLE
MGC_1100_DOWN_2.0R_FULL,MGC,1100,DOWN,2.0,FULL,459,143,313,31.154684095860567,-0.058823529411764705,-27.0,54.0,0.9137380191693291,160,-0.10625,141,-0.1702127659574468,158,0.08860759493670886,1,UNSTABLE
MGC_0900_DOWN_8.0R_HALF,MGC,0900,DOWN,8.0,HALF,474,49,424,10.337552742616033,-0.06751054852320675,-32.0,101.0,0.9245283018867925,168,-0.25,155,-0.3548387096774194,151,0.4304635761589404,1,UNSTABLE
MGC_1800_DOWN_2.5R_FULL,MGC,1800,DOWN,2.5,FULL,453,120,331,26.490066225165563,-0.0684326710816777,-31.0,50.0,0.9063444108761329,154,0.02922077922077922,148,-0.125,151,-0.11258278145695365,1,UNSTABLE
MGC_2300_DOWN_2.5R_FULL,MGC,2300,DOWN,2.5,FULL,386,98,272,25.38860103626943,-0.06994818652849741,-27.0,56.5,0.9007352941176471,141,-0.06382978723404255,126,-0.0992063492063492,119,-0.046218487394957986,0,UNSTABLE
MGC_1000_DOWN_2.0R_FULL,MGC,1000,DOWN,2.0,FULL,481,149,332,30.97713097713098,-0.07068607068607069,-34.0,45.0,0.8975903614457831,173,-0.1329479768786127,155,-0.07096774193548387,153,0.0,0,UNSTABLE
MGC_1800_DOWN_2.5R_HALF,MGC,1800,DOWN,2.5,HALF,453,120,333,26.490066225165563,-0.0728476821192053,-33.0,52.5,0.9009009009009009,154,0.06818181818181818,148,-0.17229729729729729,151,-0.11920529801324503,1,UNSTABLE
MGC_1800_DOWN_3.0R_HALF,MGC,1800,DOWN,3.0,HALF,453,105,348,23.178807947019866,-0.0728476821192053,-33.0,54.0,0.9051724137931034,154,0.06493506493506493,148,-0.21621621621621623,151,-0.0728476821192053,1,UNSTABLE
MGC_0900_DOWN_2.5R_FULL,MGC,0900,DOWN,2.5,FULL,474,125,348,26.371308016877638,-0.07489451476793249,-35.5,60.5,0.8979885057471264,168,-0.2916666666666667,155,-0.04516129032258064,151,0.1357615894039735,1,UNSTABLE
MGC_1000_DOWN_6.0R_FULL,MGC,1000,DOWN,6.0,FULL,481,62,413,12.889812889812891,-0.08523908523908524,-41.0,72.0,0.9007263922518159,173,-0.21965317919075145,155,-0.04516129032258064,153,0.026143790849673203,1,UNSTABLE
MGC_0900_DOWN_6.0R_FULL,MGC,0900,DOWN,6.0,FULL,474,61,408,12.869198312236287,-0.08860759493670886,-42.0,77.0,0.8970588235294118,168,-0.16666666666666666,155,-0.25161290322580643,151,0.16556291390728478,1,UNSTABLE
MGC_1000_DOWN_2.5R_FULL,MGC,1000,DOWN,2.5,FULL,481,125,356,25.987525987525988,-0.09043659043659044,-43.5,56.0,0.8778089887640449,173,-0.21098265895953758,155,-0.07419354838709677,153,0.029411764705882353,1,UNSTABLE
MGC_1000_DOWN_4.0R_FULL,MGC,1000,DOWN,4.0,FULL,481,87,392,18.08731808731809,-0.09147609147609148,-44.0,69.0,0.8877551020408163,173,-0.2138728323699422,155,-0.12903225806451613,153,0.08496732026143791,1,UNSTABLE
MGC_0900_DOWN_3.0R_FULL,MGC,0900,DOWN,3.0,FULL,474,107,365,22.573839662447256,-0.09282700421940929,-44.0,69.0,0.8794520547945206,168,-0.23809523809523808,155,-0.13548387096774195,151,0.11258278145695365,1,UNSTABLE
MGC_2300_DOWN_2.5R_HALF,MGC,2300,DOWN,2.5,HALF,386,100,286,25.906735751295333,-0.09326424870466321,-36.0,59.0,0.8741258741258742,141,0.0425531914893617,126,-0.16666666666666666,119,-0.17647058823529413,1,UNSTABLE
MGC_1100_DOWN_6.0R_HALF,MGC,1100,DOWN,6.0,HALF,459,59,399,12.854030501089325,-0.09803921568627451,-45.0,73.0,0.8872180451127819,160,-0.16875,141,-0.20567375886524822,158,0.06962025316455696,1,UNSTABLE
MGC_0900_DOWN_2.5R_HALF,MGC,0900,DOWN,2.5,HALF,474,122,352,25.738396624472575,-0.09915611814345991,-47.0,70.5,0.8664772727272727,168,-0.25,155,-0.16451612903225807,151,0.1357615894039735,1,UNSTABLE
MGC_1800_DOWN_3.0R_FULL,MGC,1800,DOWN,3.0,FULL,453,101,349,22.29580573951435,-0.10154525386313466,-46.0,65.0,0.8681948424068768,154,0.045454545454545456,148,-0.16216216216216217,151,-0.19205298013245034,1,UNSTABLE
MGC_2300_UP_2.5R_FULL,MGC,2300,UP,2.5,FULL,412,102,297,24.75728155339806,-0.10194174757281553,-42.0,58.5,0.8585858585858586,141,-0.06028368794326241,133,-0.16165413533834586,138,-0.08695652173913043,0,UNSTABLE
